"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Afghanistan","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Afghanistan","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Afghanistan","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Afghanistan","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Afghanistan","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Afghanistan","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Albania","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Albania","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Albania","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Albania","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Albania","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Albania","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Albania","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Algeria","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Algeria","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Algeria","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Algeria","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Algeria","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Algeria","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Algeria","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Andorra","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Andorra","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Andorra","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Andorra","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Andorra","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Andorra","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Andorra","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Angola","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Angola","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Angola","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Angola","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Angola","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Angola","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Angola","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Antigua and Barbuda","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Antigua and Barbuda","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Antigua and Barbuda","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Antigua and Barbuda","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Antigua and Barbuda","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Antigua and Barbuda","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0","1"
"Antigua and Barbuda","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","1"
"Argentina","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Argentina","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Argentina","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Argentina","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Argentina","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Argentina","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Argentina","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Armenia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Armenia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Armenia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Armenia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Armenia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Armenia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Armenia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Australia","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1","2"
"Australia","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1","2"
"Australia","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1","2"
"Australia","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1","2"
"Australia","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","2"
"Australia","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1","2"
"Australia","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1","2"
"Austria","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Austria","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Austria","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Austria","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Austria","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Austria","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Austria","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Azerbaijan","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Azerbaijan","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Azerbaijan","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Azerbaijan","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Azerbaijan","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Azerbaijan","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Azerbaijan","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahamas","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bahamas","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bahamas","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bahamas","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bahamas","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahamas","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahamas","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahrain","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahrain","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahrain","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahrain","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahrain","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahrain","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bahrain","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
"Bangladesh","Economic or social reasons","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bangladesh","Foetal impairment","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bangladesh","On request","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bangladesh","Rape or incest","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bangladesh","To preserve mental health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bangladesh","To preserve physical health","2007","UNPD_World Abortion Policies_2007","Yes/No","0",""
"Bangladesh","To save the woman's life","2007","UNPD_World Abortion Policies_2007","Yes/No","1",""
