Indicator Code,Country or Area Code,Country or Area,Time Code,Year,Value,Value Footnotes
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2018,2018,2241.923246,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2017,2017,2202.570851,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2016,2016,2128.988026,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2015,2015,2087.305323,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2014,2014,2069.424642,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2013,2013,2015.514962,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2012,2012,1914.774351,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2011,2011,1699.487997,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2010,2010,1710.575645,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2009,2009,1519.692548,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2008,2008,1272.573204,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2007,2007,1228.704135,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2006,2006,1077.761907,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2005,2005,1023.05163,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2004,2004,925.4416162,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2003,2003,927.8575479,
NY.GDP.PCAP.PP.CD,AFG,Afghanistan,2002,2002,877.0144235,
NY.GDP.PCAP.PP.CD,ALB,Albania,2018,2018,13833.9816,
NY.GDP.PCAP.PP.CD,ALB,Albania,2017,2017,13037.01002,
NY.GDP.PCAP.PP.CD,ALB,Albania,2016,2016,12002.9319,
NY.GDP.PCAP.PP.CD,ALB,Albania,2015,2015,11661.97687,
NY.GDP.PCAP.PP.CD,ALB,Albania,2014,2014,11259.24621,
NY.GDP.PCAP.PP.CD,ALB,Albania,2013,2013,10570.97718,
NY.GDP.PCAP.PP.CD,ALB,Albania,2012,2012,10526.29502,
NY.GDP.PCAP.PP.CD,ALB,Albania,2011,2011,10207.76944,
NY.GDP.PCAP.PP.CD,ALB,Albania,2010,2010,9635.183332,
NY.GDP.PCAP.PP.CD,ALB,Albania,2009,2009,8821.512664,
NY.GDP.PCAP.PP.CD,ALB,Albania,2008,2008,8228.336609,
NY.GDP.PCAP.PP.CD,ALB,Albania,2007,2007,7275.804301,
NY.GDP.PCAP.PP.CD,ALB,Albania,2006,2006,6558.638934,
NY.GDP.PCAP.PP.CD,ALB,Albania,2005,2005,5865.324803,
NY.GDP.PCAP.PP.CD,ALB,Albania,2004,2004,5422.802952,
NY.GDP.PCAP.PP.CD,ALB,Albania,2003,2003,4994.585474,
NY.GDP.PCAP.PP.CD,ALB,Albania,2002,2002,4661.367207,
NY.GDP.PCAP.PP.CD,ALB,Albania,2001,2001,4301.364166,
NY.GDP.PCAP.PP.CD,ALB,Albania,2000,2000,3862.27205,
NY.GDP.PCAP.PP.CD,ALB,Albania,1999,1999,3471.654864,
NY.GDP.PCAP.PP.CD,ALB,Albania,1998,1998,3021.007273,
NY.GDP.PCAP.PP.CD,ALB,Albania,1997,1997,2716.725188,
NY.GDP.PCAP.PP.CD,ALB,Albania,1996,1996,2979.367775,
NY.GDP.PCAP.PP.CD,ALB,Albania,1995,1995,2665.140064,
NY.GDP.PCAP.PP.CD,ALB,Albania,1994,1994,2289.3364,
NY.GDP.PCAP.PP.CD,ALB,Albania,1993,1993,2056.9674,
NY.GDP.PCAP.PP.CD,ALB,Albania,1992,1992,1822.880298,
NY.GDP.PCAP.PP.CD,ALB,Albania,1991,1991,1908.666551,
